title,company,location,posted_date,apply_link,description
Senior Software Engineer,Google,Mountain View CA,2025-01-10,https://careers.google.com/jobs/12345,Build scalable infrastructure for Google Search.
Product Manager,Acme Corp,New York NY,2024-09-01,,Manage cross-functional teams to deliver product roadmap.
Data Scientist,OpenAI,San Francisco CA,2025-02-15,https://openai.com/careers,Research and develop large language model capabilities.
Work From Home Assistant,FastCash LLC,Remote,2024-08-20,,Earn $800 per day! No experience necessary. Immediate start no interview required.
DevOps Engineer,Stripe,Remote,2025-01-28,https://stripe.com/jobs/67890,Manage CI/CD pipelines and infrastructure automation.
Marketing Manager,TechFlow Inc,Chicago IL,2024-11-05,https://techflow.io/apply,Drive B2B demand generation campaigns.
Marketing Manager,TechFlow Inc,Chicago IL,2024-09-15,https://techflow.io/apply,Drive B2B demand generation campaigns.
Frontend Developer,Shopify,Toronto Canada,2025-02-01,https://shopify.com/careers,Build React-based storefronts for Shopify merchants.
Sales Representative,Phantom Startup,Austin TX,2024-10-30,,Be your own boss! Unlimited earning potential. Multi-level sales opportunity.
Senior Software Engineer,Acme Corp,New York NY,2024-09-01,,Manage cross-functional teams to deliver product roadmap.
